lower_fill,lower_t_nm,spacer_nm,lambda_nm,A_layers
0.20,1500,50,430,0.992984
0.20,1500,50,440,0.994691
0.20,1500,50,450,0.996344
0.20,1500,50,460,0.997795
0.20,1500,50,470,0.998928
0.20,1500,50,480,0.999654
0.20,1500,50,490,0.999971
0.20,1500,50,500,0.999912
0.20,1500,50,510,0.999448
0.20,1500,50,520,0.998194
0.20,1500,50,530,0.995577
0.20,1500,50,540,0.992512
0.20,1500,50,550,0.993338
0.20,1500,50,560,0.994845
0.20,1500,50,570,0.995643
0.20,1500,50,580,0.996291
0.20,1500,50,590,0.996980
0.20,1500,50,600,0.997726
0.20,1500,50,610,0.998488
0.20,1500,50,620,0.999134
0.20,1500,50,630,0.999453
0.20,1500,50,640,0.999515
0.20,1500,50,650,0.999661
0.20,1500,50,660,0.994979
0.20,1500,50,670,0.979592
0.20,1500,50,680,0.982509
0.20,1500,50,690,0.993051
0.20,1500,50,700,0.994796
0.20,1500,50,710,0.987767
0.20,1500,50,720,0.978881
0.20,1500,50,730,0.939590
0.20,1500,50,740,0.867583
0.20,1500,50,750,0.988730
0.20,1500,75,400,0.986693
0.20,1500,75,410,0.989067
0.20,1500,75,420,0.991148
0.20,1500,75,430,0.992984
0.20,1500,75,440,0.994691
0.20,1500,75,450,0.996344
0.20,1500,75,460,0.997795
0.20,1500,75,470,0.998928
0.20,1500,75,480,0.999654
0.20,1500,75,490,0.999971
0.20,1500,75,500,0.999912
0.20,1500,75,510,0.999448
0.20,1500,75,520,0.998194
0.20,1500,75,530,0.995577
0.20,1500,75,540,0.992512
0.20,1500,75,550,0.993338
0.20,1500,75,560,0.994845
0.20,1500,75,570,0.995643
0.20,1500,75,580,0.996291
0.20,1500,75,590,0.996980
0.20,1500,75,600,0.997726
0.20,1500,75,610,0.998488
0.20,1500,75,620,0.999134
0.20,1500,75,630,0.999453
0.20,1500,75,640,0.999515
0.20,1500,75,650,0.999661
0.20,1500,75,660,0.994979
0.20,1500,75,670,0.979592
0.20,1500,75,680,0.982518
0.20,1500,75,690,0.992781
0.20,1500,75,700,0.994990
0.20,1500,75,710,0.991275
0.20,1500,75,720,0.969834
0.20,1500,75,730,0.958288
0.20,1500,75,740,0.854157
0.20,1500,75,750,0.970496
0.20,1500,100,400,0.986693
0.20,1500,100,410,0.989067
0.20,1500,100,420,0.991148
0.20,1500,100,430,0.992984
0.20,1500,100,440,0.994691
0.20,1500,100,450,0.996344
0.20,1500,100,460,0.997795
0.20,1500,100,470,0.998928
0.20,1500,100,480,0.999654
0.20,1500,100,490,0.999971
0.20,1500,100,500,0.999912
0.20,1500,100,510,0.999448
0.20,1500,100,520,0.998194
0.20,1500,100,530,0.995577
0.20,1500,100,540,0.992512
0.20,1500,100,550,0.993338
0.20,1500,100,560,0.994845
0.20,1500,100,570,0.995643
0.20,1500,100,580,0.996291
0.20,1500,100,590,0.996980
0.20,1500,100,600,0.997726
0.20,1500,100,610,0.998488
0.20,1500,100,620,0.999134
0.20,1500,100,630,0.999453
0.20,1500,100,640,0.999515
0.20,1500,100,650,0.999661
0.20,1500,100,660,0.994979
0.20,1500,100,670,0.979591
0.20,1500,100,680,0.982550
0.20,1500,100,690,0.992625
0.20,1500,100,700,0.995259
0.20,1500,100,710,0.993964
0.20,1500,100,720,0.961637
0.20,1500,100,730,0.973288
0.20,1500,100,740,0.848748
0.20,1500,100,750,0.943752
0.20,1500,125,400,0.986693
0.20,1500,125,410,0.989067
0.20,1500,125,420,0.991148
0.20,1500,125,430,0.992984
0.20,1500,125,440,0.994691
0.20,1500,125,450,0.996344
0.20,1500,125,460,0.997795
0.20,1500,125,470,0.998928
0.20,1500,125,480,0.999654
0.20,1500,125,490,0.999971
0.20,1500,125,500,0.999912
0.20,1500,125,510,0.999448
0.20,1500,125,520,0.998194
0.20,1500,125,530,0.995577
0.20,1500,125,540,0.992512
0.20,1500,125,550,0.993338
0.20,1500,125,560,0.994845
0.20,1500,125,570,0.995643
0.20,1500,125,580,0.996291
0.20,1500,125,590,0.996980
0.20,1500,125,600,0.997726
0.20,1500,125,610,0.998488
0.20,1500,125,620,0.999134
0.20,1500,125,630,0.999453
0.20,1500,125,640,0.999515
0.20,1500,125,650,0.999661
0.20,1500,125,660,0.994979
0.20,1500,125,670,0.979590
0.20,1500,125,680,0.982607
0.20,1500,125,690,0.992571
0.20,1500,125,700,0.995609
0.20,1500,125,710,0.996027
0.20,1500,125,720,0.953974
0.20,1500,125,730,0.985244
0.20,1500,125,740,0.849370
0.20,1500,125,750,0.911997
0.20,1500,150,400,0.986693
0.20,1500,150,410,0.989067
0.20,1500,150,420,0.991148
0.20,1500,150,430,0.992984
0.20,1500,150,440,0.994691
